,toxic,non-toxic
277832,"All right, damn it, one of my orders is that no one goes off alone!","and one of my orders is ""No one can go alone."""
348845,"Watch."" And he lights the fucking gas, like, so there's this stream of fucking fire shooting out of this cow, and we were so impressed, like, and we gave him another round of applause.","and he just lit the gas, so there were huge flames coming out of that cow, and we were so impressed that we started clapping again."
401963,old hag...,Old granny...
295329,"other loser cultures that think John Wayne, Rambo, or MarshaIDillon?","Another orphan of a bankrupt culture... .. who thinks he's John Wayne, Rambo, Marshal Dillon?"
416135,you're the annoying fly.,You are the fly
499896,this is psycho.,This is psychotic.
217634,Goddamn it.,"oh, God."
476698,"Thanks for everything, Dad, you jerk-off.","thanks for everything, Dad."
415073,the disgusting legs of a professional dancer would bring us to the top.,"Professional gross foot would really put us over the top. Hey, Boo."
187134,you stink like Corona.,"You smell like warm Corona, man."
228283,How the fuck should I know?,how do I know this?
411244,I'm fucking prejudiced then.,"well, then I'm prejudiced."
297803,Why not go the whole hog and just shoot me?,why don't you put it in the end and you won't shoot me?
12948,and the rest is shit.,All the rest is fake.
169135,this morning the body was found in a really fucked-up place.,A body was found this morning on a fracking site.
178920,Why steal when your mom's a sucker?,why steal when he can squeeze his mother?
245002,(Zelda thought it was Zelda thought it was Oz Veuish and Stupid),(Zelda did you think Zelda did you think Oz the Gweat and Tewwible?)
190404,What is that jackass doing?,what's that donkey doing there?
360948,"Come on, hit me.",come on. Give it to me.
77261,"he'll kill you, Carlos loses her, but he still wins.","Carlos will lose her, but he'll win."
449109,"""you scoundrel,"" said AOZ Roon and approached him.","""You scumble,"" Aoz Roon said approaching."
358328,"Hey, you know you can't jerk off, right?","hey, you know you can't chase him, okay?"
489356,Kill her? I want to talk to her.,I want to talk to her.
179840,"That's how he got the nickname ""Little Penis.""",that's how he got his nickname.
382316,this is some fucked-up dream!,This is some hop dream.
29825,"Okay, but you killed hundreds of thousands of people, so I think you can- ""Yeah, no, but 9/11. ""Fuck you.","yeah, but you killed hundreds of thousands, so I guess you can... ""-"" Yeah, I know, but eleven September!"
362813,"Fuck the Stackpole case, then... and the letter from Arapahoe County concerning it... which goes in the fuck-case file.","and the letter from Arapahoe County, which relates to him, we'll establish it between hopeless cases."
362648,I know this-- Don't do anything stupid.,I Know that Do not do anything crazy.
521366,"Ten minutes in this cold water, she'll be insane or dead.","out of this cold water, he dies after 10 minutes."
173087,"happy birthday, tough predator.","Happy Birthday, cool cat."
89783,It's like the crap tourists buy on Fifth Avenue.,"yeah, like the ones for the tourists on 5th Avenue."
276715,"sometimes I don't see how such an idiot can survive this morning. ""","Sometimes I can't understand how such a clod can get through the day."""
553915,He told me that some friends of his had done some bad shit and that he was going down for it.,"he told me some of his buddies did something really bad, and they threw it at him."
265833,"And don't be shitty, Archer, you dick.","and you don't jump, Archer."
445592,"Life is full of fucking surprises, man.",life is full of surprises.
307746,Let me burn your clothes.,I can't burn all your clothes?
172215,it's not like I've had shit for a day.,It's like I'm not already having a crappy enough day?
376723,Why don't you piss off?,why don't you pull out?
116880,"if he doesn't come back, he'll die, you know that.","She goes back or she dies, you know that."
59296,And stay shut up. Because this is not funny.,"and keep him locked up, 'cause this isn't funny."
525117,"I hate him, like all the Demon Hatfields.",Just like all the demon Hatfields.
569096,"if you want the money, be so kind and take them from us in the face.",if you want this money then have the decency to see us face-to-face.
244664,I even screweda beautiful brunette.,and I poked my beautiful brunette.
3321,"in this job, I'd suck.",I'd be terrible at this job.
203904,I look like a miss pig.,I'm like miss piggy in there!
329022,"""shut up!"" Said Kitiara.","""Hush!"" said Kitiara."
199037,he can kill anyone in this room.,He can make every guy in this room.
446455,The vulgar fictions of a demented Irishman.,the vulgar sensations of a confused Irishman.
153814,"""no, white woman!"" Ki was shaking his head violently, and I wanted to tell her Don't do it, Ki, the bird, don't go so upside down, that's a very bad idea.","'No, white nana!' Ki shook her head in wild negation and I wanted to tell her don't do that, Kibird, don't shake your head like that, very bad idea."
269855,You haven't got the slightest fucking idea.,you don't even have a clue.
431862,"Jesus, you look like you ran into What now, do you want me to suck you two?","Jesus, you look like you ran into So what now, you gonna get me smoking from both ends?"
495548,She talked about how stupid she felt for being too scared to ever kiss Will on the lips.,she talked about how bad she felt she was so scared to kiss Will on the lips.
49547,"he's a monster, Ben thought.","She could be a monster, Ben thought."
151793,"even with your insanity, you made it back here.",Even in your madness you guided her back to us.
371828,I'm gonna die surrounded by the biggest idiots in the galaxy.,I'm surrounded by the largest debilama in the galaxy.
483628,like a bunch of nutters preparing a birthday party.,Right now it's like a bunch of psychotics setting up this birthday party.
529623,"Since she is totally brainless, it didn’t take a competent policeman more than ten minutes alone with her to tangle her up.","since he didn't have any sense of what was going on, he'd have had enough of an able-bodied cop to be alone ten minutes by himself, and she was at the end of it."
191843,"You don't deserve... You don't deserve all the crap you get, Meg, you know that?","you know, you don't deserve to be treated, you know, Meg?"
190647,what the hell are you doing?,"Hey, what are you doing?"
503296,"no, not the damn tag.","No, no Not your tag."
156731,"Lee... when people come into this office, you are a visual representation of my business, and the way you dress is disgusting.","when people come here, you represent my business. And your clothes are terrible."
451841,it's just a dumb coincidence.,It's just a pure coincidence.
208874,"“Shuck it,” Newt said.","""fracas,"" said Newt."
471266,you fucked up!,You messed up!
222759,"screw him, monkey.","Don't mind him, Monkey."
298525,"Shit, I love you.",I love you.
323990,Shoot me any information,get me some information.
297449,"""you fool!"" Cried Sam.",``Snapper!'' exclaimed Sam.
161550,You're terrible!,you're really scary.
465738,"But someday, somewhere, someone may find out the damn truth.",but one day someone may discover the truth.
161929,"Are you having a fucking laugh, mate?","is that some kind of joke, man?"
75073,"damn, it's not the time!","Christ, we don't have time for this."
463420,am I going to feel old and retarded?,Will it make me feel old and uncomfortable?
194728,"Now, he may run and tell somebody that, but that don't mean shit.","now he can run and tell someone, but that doesn't mean anything."
406096,"And now, ladies and gentlemen, it's time for our first act... - five lads from Grimsby who have a history of touching assholes.","and now, ladies and gentlemen, it's time for our first appearance...... five lads from Grimsby, known for the homelessness."
150908,why the fuck am I here?,Why am I here?
390496,He'il be rubbing her boob with his beard soon.,soon she will be scratching her beard.
72769,maybe Hunter would fuck me. He could drop the box on my dress.,Maybe Hunter could fill in for me if I drop a heavy box on my face.
433953,we feed him pigs.,We feed it to the pigs. Pigs?
417159,Next time he might bring death to us all.,next time could be the cause of death.
376498,"Uhh, look, um... ..after you've had sex with a girl,... ..and you're lying in bed with her,... ..are you nervous?","look, if you sleep with a girl and lie down in bed with her, are you nervous?"
306604,Why don't you tell me my dick is as big as Stifler's.,tell me I got him as big as Stifler.
522800,"no, you wouldn't... you didn't have a pretty brain.","Not... not that you don't have, uh, wonderful brains."
459076,"Anyway, it's none of your business, dip shiitake.","anyway, it's none of your business, you coconut."
151852,there are no black passengers on my ship.,There are no stowaways on my ship.
380720,"Let me kill him. When he's lying in the dust, signal to attack.","when he's in the dust, signal to the attack."
543751,"Come on, bitches, smile.",come on. Smile.
544749,my team is going to hang it.,I'll get my team to check it out.
234029,Hasn't she broken up with that loser yet?,she hasn't broken up with the poor guy yet?
537897,we can detonate it.,We can set this off.
164712,couldn't I be that crazy judge with loud interceptions?,I couldn't be the crazy speakerphone judge?
549063,She laid a finger along the cleft of her vagina.,she put her finger on the gravel.
449310,Kick his fucking ...,kick it out...
304052,who the hell are you?,"Yeah, who are you?!"
44037,It was a sick joke.,it was like a bad joke.
299158,"Flare gun? I don't know nothing about no stinking flare gun. - Oh, shit!",I don't know anything about a deadly flare.
236082,there's such a poor little fucker in L.A....... with a face-beating from one that you almost destroyed his promising career.,There's some poor sob in la... with his face all bent out of shape where you damaged his movie career.
351675,"""how does a lone lunatic get an army hardware?"" She asked sourly.","""How does a lone maniac get hold of military-grade weaponry?"" she inquired tartly."
537070,we'll stop right now until we've had sex.,At least we can stop now before we've slept together.
417417,how do you know he's got pussy?,How do you know she has a cat?
187857,Dump the body in the Tiber.,put the body in Tiber.
148100,I can't get in if I fucking fail.,I can't if you flunk me out. I have to pass.
184971,"Hearthat Kursturica stopped filming in America? .Shit, really?",did you hear Kusturica stopped shooting in America?
565955,your mother shut her up.,Your mother shut the book.
69019,They looked. Why don’t you hit them?,"they were looking, too, why didn't you hit them?"
564510,and I punched her.,And I struck her.
528777,shut up.,Quiet .
561175,"""I can't see shit,"" a fifth responded.","""I don't see any fat,"" the fifth voice complained."
195653,"I mean, the first time they stopped the game... ...to cut away to a fucking commercial, that was the end of it.","when they first interrupted the game for advertising, it was the beginning of the end."
343030,To Hell with persuasion.,hell with convincing.
496951,"Take the goddamn tickets, we don't want them.","take them, we don't want them."
8275,That shit's strong.,it's strong stuff.
160874,I'll stick to black.,I'll just stick with the black.
244703,And every time I mention it you change the damn subject.,every time you change the subject.
486810,You just don't want Adelita to know you shit.,you just don't want Adelita to know that you're too big.
548993,I'm not afraid of beating you.,I'm not worried about shutting you down.
74242,Fucking Christ!,Jesus Christ!
391750,"if they don't die, the cops have them.","If they didn't kick off, the coppers have them."
413095,"If there is a God in heaven, He will surely shut your mouth.","if God is in heaven, he will undoubtedly shut you up."
139687,hang them!,Go around them!
460820,"Your father and I, we come from the same shithole in Poland.",your father and I came from the same hole in Poland.
576607,"listen, you little bastard.","You listen to me, you little punk."
20155,Denham is crazy to take you ashore.,I think Denham's off his nut taking you ashore today.
95996,The blood belongs to a pig's liver.,the blood was from a pig roast.
498377,look who we suck.,Look who we found.
570001,The mine is a shit pit.,mine is a nasty hole.
216348,You can't imagine how deeply one can fall in love after making the decision of no fucking.,you can't imagine how deeply you can fall in love after you get laid.
81395,"Like I got ""Daddy's Fuckhole"" tattooed on my forehead.",it's like I have a tattoo on my forehead.
263257,The damnedest thing happened up there.,something strange happened up there.
516422,Now get in the damn car.,now get in the car.
425566,"you get married, you push out a couple of suckers, and then...","You see, you're gonna get married. You're gonna squeeze out a few puppies, and then..."
456769,"Slow down, you monkeys.","slowly, monkeys!"
290957,"Tramps, beggars, Amsterdam riff-raff!","hobos, beggars, Amsterdam beds!"
168986,fuck!,Wow!
412854,"shut up, Margaret Rose.","Hush, Margaret Rose."
235348,I'm sorry! Whore.,I'm sorry.
504637,"Thursday you realize you love me, damn it. Friday, we're closed.",you'll love me on Thursday and we're closed on Friday.
452892,I should have castrated him as soon as he was born.,I should have gelded him at birth.
15916,Those pigs?,the pigs?
515033,I did so much good today when I have nearly a mental erection.,"I've done so much good today, I've got like a soul boner."
316944,not an idiot sitting by your bed for ten days when you were on death row.,Not the bloke who sat by your bed for ten days while you nearly died.
494407,...the only ones guaranteed to go to Hell are those who die by their own hand.,... certain places in hell only have those who die in their own hands.
141679,"all their streets full of blood, shit and vomit!","All their streets running with blood, dysentery, puke!"
15315,"oh, my God, they're even more pathetic than Snake.","God, no. They're even weaker than Snake."
305033,What the fuck is that?,what is it now?
150117,my nephew is gay.,"I have a gay nephew, okay?"
317348,"I mean, fucking jet ski racer.",or a jet-racer on a Jet Ski.
57581,"oh, shit.","Oh, gosh."
171465,"I'm a bit behind than the other girls, but being an idiot that you are, you won't understand what I mean, will you?","I'm behind the other girls, but they don't really understand what I mean, do they?"
6596,"I said keep quiet about where it came from, and you fuckin' ran off at the mouth to Tara.",I told you to keep quiet about where you got it from.
528264,He's crying all night and shit.,he's crying all night.
80060,"everyone thinks I'm an emotional wreck of a black, negative star.",And 'all that I see as an emotional disaster. Like a dark star. A negative.
529121,I told you that my French sucks.,"first of all, I said I don't speak French."
557062,He's crazy.,that's crazy.
19201,What the hell's wrong with you tonight?,what's wrong with you today?
161341,"I didn't see blue light sucking people up in the sky. You sound crazy, man.",I didn't see any blue lights sucking people into the sky.
124777,and my mother is still fucking scared.,And my mom's still scared shitless because of it.
503862,What the fuck was that about your grandfather?,what's your grandfather's history?
329309,Some madman.,some nut.
268630,The Soviet government would have managed to fuck up these new treasures as it had fucked up everything else.,the Soviet government would be able to spread these two new treasures as much as it did everything else.
104845,Your clavicle. - I'm here because it's my case.,I'm here because this is my case.
473758,"did it go slow, or did he just jerk off?","Was it slow, or did he just go batty?"
310169,why don't you put him in a mental institution?,Why don't you put him in some sort of facility?
192726,he's gonna kill me!,He's got me!
456616,Both your lives are in danger - no-shit danger.,the lives of both of you are in danger - no fun; in danger.
352423,"I'm sick of you, Penny Prids!","I've had enough of you, Penny Priddy!"
98455,"Be happy we're only plucking you, porcupine.","be happy we're just tearing up the spikes, porcupine."
5397,you can kill me now because I'll never stop hunting you.,'cause I will never stop hunting you.
313548,this guy really looked like shit.,That guy really looked weird.
68049,destroying them is the only chance we'll be free.,Taking them down is the only way to get free.
309457,"Elena, I know you want to settle this, but he's a crook.","Elena, I know you want to figure things out, but he is a bad guy."
489799,"as long as you have a woman hanging in your forearm, behind closed doors, you can do whatever unholy things you want, and who do you want, Mother!","As long as you have a wife on your arm in public, behind closed doors, you can do whatever ungodly things you like to whomever you like."
517324,I hurt you!,I've hurt you.
567371,you're crazy about your parents.,Don't take out your anger of your parents on me!
521362,"shut up, Aguirre!","Silence , Aguirre !"
295398,I was knee high in my dick's eye in goob blood... when you were just a .. in your momma's womb.,I was knee-deep in blood and guts when you were still lying in your mother's womb.
498820,she was a dumb 11.,He was a clueless 11.
339210,"Well, you know I'd love to party with you boys, but, I don't have my shit.","I'd like to hang out with you, but I don't have my junk."
64483,Did you fucking just hear me?,you didn't hear me?
85894,"Goddamn it,Cheswick,here!","come on, Cheswick, come on!"
296699,"we're going down, you start the fucking engine and we're out of here.","We go down there, and you turn on the engine."
390980,Okay. And then I'd be stupid not to have the bomb.,and I'd be crazy if I didn't have that bomb.
280298,you fuck with our livelihood!,You're with our livelihood!
542620,I'm not fuckin' scared of you!,I'm not afraid of you!
401736,"But every day, she asks her boss to pray that Buddy don't fuck up.","but every day, he asks the boss and he prays for Buddy so he doesn't screw it up."
65516,"Damn, it's cold!","ugh, it's cold."
324983,you're such a killer.,You're such a homer.
445170,"I think it was your incredible modesty, Liar!",I think it was your incredible purity.
354796,fuck the family tradition.,Screw family tradition.
142125,Our military... strength...is... in this case... ... useless.,the military force is useless in this case.
298150,"But If you come in here with this, uh, ""running a business"" crap, you're gonna lose some good people.","but if you come up with this, uh, nonsense ""we're running a business,"" you'll lose good people."
576497,loaded and ready to shoot.,loaded and ready to fire.
300114,I'll fucking ID you!,I'll let you identify!
529794,"Hey, Jimmy, you get an order, just do your shit.","look, Jimmy, if you get an order, do what you have to do."
394946,You scared me jerk!,you scared me!
249818,"if I hadn't met you, I'd probably be sitting on my ass with hemorrhoids.","I suppose if I hadn't met you, I'd probably settle for a hard chair and a hemorrhoid."
64074,they were here to see you break your head.,"They came out here, to see you crack your head open."
449121,Get the fuck down!,get down on the ground now!
437110,Goddamn it! I would never do that!,"oh, my God. I'd never do it."
521830,I need a fucking nap.,I need a break.
49527,"son, you're not a fag, are you?","Son, you ain't a poofter, are you?"
351630,"You know, I feel like an idiot, 'cause I called your hotel about a hundred times.","you know, I've tried calling you a hundred times."
252281,fucking royal Albert Hall (a),Royal Albert Hall!
205994,"No O. J. Dream Team, just a court-appointed attorney who probably thought his ass was guilty.","no O.J. Dream Team, just a court-appointed prosecutor who probably thinks his brother is guilty."
211535,"You're gonna have to stop somewhere, sometime. And when you do, I'm going to be there to put the wrath of the Lord up your ass.","someday you'll have to stop somewhere, and when you do, I will be there, and I will cast the wrath of God on you."
190021,car sucks!,Turd car!
496321,"The day you put your ass on the line, that's the day you'll be a real reporter.","once you've started your own life, you're gonna be a real reporter."
304754,It's sad and it's pathetic... And it breaks my heart.,"it's sad, poor...... and it tears my heart out."
551659,why don't you just cut her blue eyes out?,Why didn't you mention her blue eyes while you're at it?
528283,"when Eliza slapped her ass for the first time, she didn't react, but at the second slap she went out to the yard, and just as Eliza complimented her, what a good girl she was, and she slapped her third, going into the trot that Eliz almost immediately dropped.","She did not respond the first time Eliza pinched her bottom, but on the second pinch she walked out into the stable-yard, and when Eliza told her what a good girl she was and pinched her a third time she broke into a trot that nearly bounced Eliza straight off."
356617,die for your life!,Beg for your life!
134303,"they're crazy, but they're smart.",They're wacky and wise.
221856,Someone's put their stuff in my fucking room!,someone put things in my room!
170802,the clown had to take several streets west of Sedic Square to concentrate on the main arteries.,The Collectivists had to sacrifice a few streets west of Sedilia Square to focus on main streets.
523216,Now get this scum out of my warehouse.,now clean up the trash from our warehouse.
342053,You're damn right there.,you're right there.
358601,Was ThatA Really Stupid Idea?,was it really such a bad idea?
425155,shut up.,"Quiet, quiet."
419560,I shut down your laggard this morning.,"They shut down your lab this morning,"
374583,"Whoever Batman is, he's stronger than I... Shut up.","whoever Batman is, he's much stronger..."
271920,"I just been fucking with you, my little bleached brother.","I'm just messing with you, my little faded brother."
427583,I need you to tell the media what I really said to those lunatics.,I need you to tell the media what I really told those guys.
539060,I caressed the Drum and sucked.,I clucked at Drum and shook the reins.
415238,I told himhe'd pay if he fucked with us.,"I told him if they tricked us, he would pay for it."
71830,"Tell me, if I'd stabbed the Mad King in the belly instead of the back, would you admire me more?","tell me, if I point the Mad King in the back, would you admire me more?"
318055,spare me the prison bullshit.,Spare me the tough convict talk.
573234,Where Gracie Allen took Jack Paar's virginity.,now you're standing where Jack Paar lost his virginity to Gracie Allen.
255105,shut up!,Keep silent!
297731,"damn, that's exactly why I chose you.","Cono, that's why I picked you."
306708,The judge even threatened to hang me.,it was great. The judge almost let me hang.
558693,Somebody give me a fucking wiener before I die.,somebody get me a couple before I die.
314674,The perfect setting for a silent movie queen. Poor devil.,perfect stage for the queen of mute film.
520535,just sick and evil.,Just twisted and evil.
326171,You better not try to show me up with any of your super-cop bullshit.,you better not try to show me anything from your little pieces.
245767,"""Marlowe, there's nothing more offensive than an arrogant, ungrateful little brat who doesn't know his place.","When the others had left Howe said, ""Marlowe, there is nothing in this world more offensive than a smart-aleck boy, an ungrateful upstart who doesn't know his place."
137685,Open this fucking door now!,open the door now!
219727,you know shit about shootings from the first person.,You don't know shinola about first person shootin'
331160,stop slapping those stupid complicated sentences.,Stop with your complicated sentences.
160863,"fuck you, okay?","You, okay?"
107345,I shot a bad person in that container.,I shot the wrong person in that trailer.
556871,"Maybe you didn't hear, but Colosimo retired on account of that bullet in his fuckin' head.","you may not have heard it, but Colosimo is retired because he found a bullet in his head."
557519,I think you fucking with me.,I think you're kidding me.
213803,"I have dinner in candlelight, my pussy includes my jewelry, so I think you want to give me a ride, Mrs. Robinson.","I'm seein' candlelight dinner... ...my boo-boo over here trickin' on jewelry... ...I think you're tryin' to seduce me,Mrs. Robinson."
98797,"A witch, a pawnbroker,","wizard, pawnbroker..."
230347,"And when all this is over, if you and I are still alive, you investigate your ass off.","and when it all ends up, if I and you are still alive, you'll believe your suspicions."
533474,"""Leonardo was a terrible monster.",Leonardo was a bad ghost.
188643,Nothing except for his atrocious penmanship.,nothing except the awful manuscript.
494294,"Moving shit, bro.","really touching, bro."
359076,"But damn it, I am your brother, man.","but, buddy, I'm your brother."
95700,The human race is about to be wiped out.,the human race awaits extinction.
337947,"And instead of calling her back, instead of calling my girlfriend back, I fucked some other chick.","and instead of calling her, my girlfriend, I slept with another."
221053,what the hell are you doing?,What in Goïs name are you doing?
414066,"Or, uh, scumbags, as my colleague says.","or, ""villains,"" as my colleague says."
120052,what the hell!,What the!
124901,you were the biggest jerk at the Paka Camp!,You were all-geek at Camp Geek!
386869,"Shut up, Clay.",be quiet.
211923,they wanted to destroy her.,They wanted to destroy it.
551999,"well, I think we can agree that we've been through the whole fucking century.","Well, I think we can all agree, he hasn't cared about us for the past freaking century."
304997,"Fuck you, Tom Quinn.","go somewhere, Tom Quinn."
289029,"dude, I know your girl is missing, believe me, but Casey said we should be sitting on our asses.","I know you miss your girl, believe me... ...but Casey said that we have to stay put."
499870,"""Aaah, has ickle Ronnie got somefink on his nosie?"" said one of the twins.","""what, our little Rooks have something on the stretcher?"" Said one of the twins."
307095,"Oh, shit.","oh, my God."
404008,"Real fucking impressive, Bill.","you're really impressed, Bill."
396564,Just blew her brains out all over the bathtub.,just traces of her brain all over the tub.
122566,"If you think it's so easy, why don't you come and shoot it?","if you think it's that easy, why don't you come over here and give it up?"
247047,"Hermes, shut up!","Hermes, quiet!"
407998,We need to know who else you've been talking trash about?,we need to know what else you were talking about.
98266,You put it in the fucking street?,so you took it to the street?
509455,I needed a man whose fear of death... ...would make him stupidly cooperative.,I needed a man whose fear of death...... is so big to work with him.
38681,he'll be dead for the rest of his life.,And she will be the rest of her life.
336079,"Chips, shut up!","Chips, be quiet!"
473079,"last time I got drunk, I fucked the firemen.",The last time I drank this much at a bar I made out with a fireman.
208938,I want this damn thing taken out.,I want to take this out.
214206,"Fuck out of here, man!","get out of here, man."
336867,"hell, I drowned your car in the lake.","I mean, for God's sake, I sank your car in a lake."
551932,"Fuck, leave me alone!",leave me alone!
193752,moron.,Twat.
358107,"Hell, forget her—now.""","never mind... Yet. """
531828,I paid her fucking 25 grand cash.,"I paid $25,000 for it."
191671,"What the fuck's happened to Charles, Tom? I wish I knew.","what the hell happened to Charles, Tom?"
169176,at 1.30 your little girl will die.,At 1.30 your little girl is dead.
122674,silent killing if necessary.,Silent termination if necessary.
58007,May I hang your garment while I get you another drink? . . .,you have to put down while I'm getting you another drink.
114627,I don't know what the fuck people be doin' here while they gamblin'.,I don't know what these people do while they're playing.
72776,They fucked you good.,they made you good.
522338,"""the doctor has enough problems: First there's a corpse in her house, and then someone will try to rape her.""","""She's certainly having her troubles: first finding a body in her house and then experiencing a rape attempt."""
69102,"""That is damn poetic for an FBI agent.""","""bloody poetic, an FBI agent."""
537237,Just because I let your friend fuck me last night doesn't mean that he can take my silver.,the fact that I gave your friend last night doesn't mean he's gonna take my silverware.
107959,maybe you should blow up and I'll pull.,Maybe you should blow on itand I'll pull.
85961,"Yes, there are such devils.","yes, there are such beasts."
336925,"Now, go home. You look like a junkie.","now go home, you look like a marker."
498976,what do you have with your legs that your shoes stink so much?,What is going on with your feet that your shoes smell like this? Awesome!
447418,"I'm gonna be honest, I don't give a shit about movement, but, no, that inspired me.","frankly, those moves didn't tell me anything, but they really inspired me."
252868,You've got a bloody cheek.,you have some nerve.
140195,don't fuck with me.,Don't piss me off.
197541,You're pissing up the wrong fucking tree.,"you're pissing on the wrong tree, my friend."
504883,you don't fuck.,You won't.
572012,Keep it shut.,keep her closed.
453851,my boss will kill me if you don't tell me anything about important women.,Congratulations. My editor will kill me if I don't grab a quote for our Powerful Women issue.
